EN-US,EN-GB,EN-IN,EN-CA,EN-AU,DE-DE
abracadabra,abracadabra,ace,abracadabra,abracadabra,aber hallo
achoo,ace,achoo,achoo,ace,aber sicher
aha,achoo,ah,aha,achoo,abrakadabra
ahem,ahoy,ahoy,ahem,aha,ach
ahoy,all righty,aii,ahoy,ahem,ach du grüne neune
all righty,aloha,aila,all righty,ahoy,ach du liebe zeit
aloha,aooga,aiyo,aloha,all righty,ach du meine güte
aooga,arrivederci,all righty,aooga,aloha,ach ja
argh,as if,aloha,argh,aooga,ach so
arrivederci,as you wish,arrey,arrivederci,argh,achje
as you wish,au revoir,as if,as you wish,arrivederci,achtung
au revoir,aw,as you wish,au revoir,as if,ade
aw man,aw man,au revoir,aw man,as you wish,ah
baa,awesome,aw,baa,au revoir,aha
bada bing bada boom,baa,aw man,bada bing bada boom,avast ye,ähm
bah humbug,bah humbug,awesome,bah humbug,aw,ahoi
bam,bam,awright,bam,aw man,alles klar
bang,bang,baap re,bang,awesome,aloha
batter up,bazinga,balle balle,batter up,aye,als ob
bazinga,beep beep,bam,bazinga,baa,argh
beep beep,bingo,bang,beep beep,bada bing bada boom,arrivederci
bingo,blah,bazinga,bingo,bah humbug,aso
blah,blarg,beep beep,blah,bam,au
blarg,blast,bhai,blarg,bang,au weia
blast,blimey,bingo,blast,batter up,aua
boing,bob's your uncle,blast,boing,bazinga,autsch
bon appetit,boing,blimey,bon appetit,beauty!,bazinga
bonjour,bon appetit,boing,bonjour,beep beep,bingo
bon voyage,bon voyage,bon appetit,bon voyage,bingo,bis bald
boo,bonjour,boo,boo,blah,bis dann
boo hoo,boo,boo hoo,boo hoo,blarg,bla
boom,boo hoo,booya,boom,blast,boing
booya,booya,bother,booya,blimey,bon appetit
bravo,bother,bravo,bravo,bobs your uncle,bon voyage
bummer,bravo,caw,bummer,boing,bonjour
caw,caw,cha ching,caw,bon appetit,bravo
cha ching,cha ching,chal hut,cha ching,bon voyage,brumm
checkmate,checkmate,checkmate,checkmate,bonjour,buh
cheerio,cheer up,chee,cheerio,bonza,buhu
cheers,cheerio,cheer up,cheers,boo,bumm
cheer up,cheers,cheers,cheer up,boo hoo,bzz
chirp,chirp,chirp,chirp,boom,da lachen ja die hühner
choo choo,choo choo,clank,choo choo,bother,ding dong
clank,clank,clickety clack,clank,bravo,dito
click clack,clickety clack,cock a doodle doo,click clack,bummer,donner und doria
cock a doodle doo,cock a doodle doo,coo,cock a doodle doo,c'mon,donnerwetter
coo,codswallop,dei,coo,caw,ebenso
cowabunga,coo,dhatt,cowabunga,cha ching,en garde
darn,cowabunga,dishoom,darn,checkmate,ey
ding dong,crikey,ditto,ding dong,cheer up,geh nur
ditto,d'oh,dot dot dot,ditto,cheerio,gemach
d’oh,darn,duh,d'oh,cheers,genug
dot dot dot,ditto,eek,dot dot dot,chirp,gesundheit
duh,dot dot dot,eep,duh,choice,gott im himmel
dum,duh,eesh,dum,choo choo,grüß gott
dun dun dun,dun dun dun,en garde,dun dun dun,clank,gute reise
dynomite,eek,eureka,dynomite,clickety clack,guten appetit
eek,eep,ew,eek,cock a doodle doo,hach ja
eep,en garde,giddy up,eep,codswallop,halleluja
encore,encore,good grief,encore,coo,hals und beinbruch
en gard,eureka,good luck,en garde,cooee,halt
eureka,ew,good riddance,eureka,cowabunga,hände hoch
fancy that,fancy that,gotcha,fancy that,crikey,heiliger strohsack
geronimo,geronimo,great scott,geronimo,cuz,heisa
giddy up,giddy up,ha,giddy up,d'oh,hey
good grief,good golly,haan,good grief,darl,hihi
good luck,good grief,haanji,good luck,darn,hipp hipp hurra
good riddance,good luck,haay,good riddance,dinky di,hört hört
gotcha,good riddance,heads up,gotcha,dinky di aussie,hü
great scott,gosh,hiss,great scott,ditto,hüa
heads up,gotcha,hmm,heads up,dot dot dot,huch
hear hear,great scott,honk,hear hear,duh,huhu
hip hip hooray,ha,howdy,hip hip hooray,dun dun dun,hui
hiss,ha ha,howzat,hiss,eek,hurra
honk,heads up,hurray,honk,eep,ich glaub ich bin im kino
howdy,hear hear,jai hind,howdy,en garde,ich glaub mein schwein pfeift
hurrah,hip hip hooray,jeepers creepers,hurrah,encore,ich glaub mich knutscht ein elch
hurray,hiss,ji,hurray,eureka,ich glaub mich laust der affe
huzzah,honk,ji huzoor,huzzah,ew,ich glaub mich tritt ein pferd
jeepers creepers,howdy,jiminy cricket,jeepers creepers,fair dinkum,igitt
jiminy cricket,howzat,jinx,jiminy cricket,fair go,iiieh
jinx,hurrah,kaboom,jinx,fancy that,ist nicht dein ernst
just kidding,hurray,kaching,just kidding,g'day,japp
kaboom,huzzah,knock knock,kaboom,geronimo,jawohl
kablam,jeepers creepers,macha,kablam,giddy up,jo
kaching,jiminy cricket,meow,kaching,good golly,juhu
kapow,jinx,merci,kapow,good grief,kein kommentar
katchow,just kidding,moo,katchow,good luck,keine ursache
kazaam,kablam,na-na,kazaam,good morning!,kikeriki
kerbam,kaboom,nah,kerbam,good onya,klar
kerboom,kaching,no way,kerboom,good riddance,klick klack
kerching,kapow,nom nom,kerching,gosh,kopf hoch
kerchoo,knock knock,oh,kerchoo,gotcha,kuckuck
kerflop,le sigh,oh boy,kerflop,great scott,lass es dir schmecken
kerplop,look out,oh dear,kerplop,ha,lecker
kerplunk,mamma mia,oh ho,kerplunk,ha ha,los
kerpow,man overboard,oh my,kerpow,heads up,mach's gut
kersplat,mazel tov,oh snap,kersplat,hear hear,mahlzeit
kerthump,meow,okey dokey,kerthump,heave ho,mamma mia
knock knock,merci,ooh la la,knock knock,hip hip hooray,mann über bord
le sigh,moo,open sesame,le sigh,hiss,manometer
look out,no way,ouch,look out,honk,mazel tov
mamma mia,nom nom,ow,mamma mia,hooley dooley,mein gott
man overboard,now now,oy,man overboard,hooroo,merci
mazel tov,oh boy,oye,mazel tov,howdy,miau
meow,oh dear,paavam,meow,howzat,mist
merci,oh my,pardon,merci,hurrah,moin
moo,oh my giddy aunt,phew,moo,hurray,muh
nanu nanu,oh snap,phooey,nanu nanu,huzzah,na klar
neener neener,okey dokey,plop,neener neener,jeepers creepers,na sieh mal einer an
no way,oof,pop,no way,jiminy cricket,na und?
now now,ooh la la,pow,now now,jinx,na?
oh boy,open sesame,quack,oh boy,just kidding,naja
oh brother,ouch,rascala,oh brother,kablam,nanu?
oh dear,ow,ribbit,oh dear,kaboom,ne
oh my,oy,righto,oh my,kaching,nee
oh snap,pardon,roger,oh snap,kapow,nichts da
oink,phew,shabash,oink,kazaam,nix da
okey dokey,phooey,shathaais,okey dokey,kerbam,nö
oof,ping,sheesh,oof,kerboom,null problemo
ooh la la,plop,sigh,ooh la la,kia ora,obacht
open sesame,pop,simple,open sesame,knock knock,och
ouch,pow,splash,ouch,laugh,oh mann
oy,quack,squee,oy,le sigh,oh mein gott
phew,read 'em and weep,swish,phew,look out,oh my god
phooey,ribbit,swoosh,phooey,mamma mia,oh nein
ping,righto,ta da,ping,man overboard,oh oh
plop,roger,tee hee,plop,mazel tov,ohne scheiß
poof,sigh,that's all for now folks,poof,meow,oink
pop,simples,"that's all, folks",pow,merci,oje
pow,splash,theek hai,quack,moo,okey dokey
quack,spoiler alert,there there,read 'em and weep,no way,ooh la la
read ‘em and weep,squee,thump,ribbit,no worries,pfui
ribbit,swish,tick tick tick,righto,nom nom,piep
righto,swoosh,tick tock,roger,now now,plop
roger,ta da,tsk tsk,shucks,oh boy,plumps
ruh roh,tallyho,tweet,splash,oh brother,prima
shucks,tee hee,uff,spoiler alert,oh dear,prosit
splash,there there,uh huh,squee,oh my,prost
spoiler alert,thump,uh oh,swish,oh my giddy aunt,puff
squee,tick tick tick,vroom,swoosh,oh snap,puh
swish,tick tock,waaaah,ta da,okey dokey,pustekuchen
swoosh,tosh,waah,ta ta,onya,schachmatt
ta da,touche,watch out,tee hee,oof,schade
ta ta,tsk tsk,way to go,there there,ooh la la,schau an
tee hee,tut tut,well done,thump,oops,sesam öffne dich
there there,tweet,well well,tick tick tick,open sesame,seufz
thump,uh huh,wham,tick-tock,ouch,sieh an
tick tick tick,uh oh,whee,touche,ow,siehe da
tick-tock,voila,whoop,tsk tsk,oy,siehste?
touche,vroom,whoops a daisy,tweet,pardon,spoileralarm
tsk tsk,wahoo,whoosh,uh huh,phew,stimmt
tweet,watch out,woo hoo,uh oh,phooey,super
uh huh,way to go,wow,voila,ping,supi
uh oh,well done,wowza,vroom,plop,süßes oder saures
voila,well well,yaar,wahoo,pop,tada
vroom,wham,yippee,wah wah,pow,tatsächlich
wahoo,whammo,yo,watch out,quack,tick tack
wah wah,whee,yum,way to go,read 'em and weep,tja
watch out,whoop,yummy,well done,ribbit,touche
way to go,whoops,yup,well well,righto,tschö
well done,whoops a daisy,zap,wham,ripper,türlich
well well,whoosh,zing,whammo,roger,tut
wham,woo hoo,,whee,shiver me timbers,uff
whammo,wow,,whew,sigh,verdammt
whee,wowza,,woof,simple,verflixt
whew,yadda yadda yadda,,whoops a daisy,splash,viel glück
woof,yippee,,whoosh,spoiler alert,voila
whoops a daisy,yoink,,woo hoo,squee,von wegen
whoosh,you bet,,wow,strewth,vorsicht
woo hoo,yowza,,wowza,sweet as,war nur ein scherz
wow,yum,,wowzer,swish,was zur hölle
wowza,zap,,yadda yadda yadda,swoosh,weh mir
wowzer,zing,,yay,ta,wehe
yadda yadda yadda,zoinks,,yikes,ta da,wie du meinst
yay,,,yippee,ta ta,willkommen
yikes,,,yoink,tallyho,wow
yippee,,,yoo hoo,tee hee,wuff
yoink,,,you bet,there there,yay
yoo hoo,,,yowza,thump,zugabe
you bet,,,yowzer,tick tick tick,zum wohl
yowza,,,yuck,tick tock,
yowzer,,,yum,touche,
yuck,,,zap,tsk tsk,
yum,,,zing,tweet,
zap,,,zoinks,voila,
zing,,,,vroom,
zoinks,,,,wah wah,
,,,,wahoo,
,,,,watch out,
,,,,way to go,
,,,,well done,
,,,,well well,
,,,,wham,
,,,,whammo,
,,,,whee,
,,,,whoop,
,,,,whoops,
,,,,whoops a daisy,
,,,,whoosh,
,,,,woo hoo,
,,,,wow,
,,,,wowza,
,,,,yadda yadda yadda,
,,,,yay,
,,,,yippee,
,,,,yoink,
,,,,yoo hoo,
,,,,you beauty!,
,,,,you bet,
,,,,you ripper,
,,,,yowza,
,,,,yuck,
,,,,yum,
,,,,zap,
,,,,zing,
,,,,zoinks,
